"year","avg_user_score","games_count"
1999,9.1000000000000000,5
2003,9.0400000000000000,5
2010,8.7875000000000000,20
2009,8.5488095238095238,42
2008,8.5266666666666667,45
2007,8.5086956521739130,23
2006,8.2321428571428571,14
2004,7.9142857142857143,7
2001,7.8500000000000000,6
2020,7.5000000000000000,7
